age,sex,weight_kg,height_cm,bmi,goal,fitness_level,sessions_per_week,session_duration_min,activity_level,has_gym,has_dumbbells,has_barbell,has_pullup_bar,injury_knee,injury_back,injury_shoulder,program_type
47,0,90.5,170,31.31,1,0,4,47,2,0,1,0,0,0,0,0,beg_muscle_home_3x
35,1,53.5,167,19.18,2,1,3,53,3,0,1,0,0,0,0,0,int_maintain_gym_4x
23,1,90.7,167,32.52,2,0,3,43,3,0,1,0,1,0,0,0,beg_maintain_home_3x
47,1,66.4,166,24.1,0,1,5,43,2,1,1,1,0,0,0,0,int_fat_loss_gym_4x
23,0,67.9,188,19.21,1,1,5,46,2,0,1,0,0,0,1,0,beg_injury_safe_home_3x
19,0,87.0,171,29.75,0,1,3,44,2,0,1,0,0,0,0,1,beg_injury_safe_home_3x
35,1,65.1,162,24.81,0,1,4,51,2,1,0,1,0,0,0,0,int_fat_loss_gym_4x
35,1,60.7,172,20.52,1,0,2,39,1,0,1,0,0,0,0,0,beg_muscle_home_3x
50,0,72.6,178,22.91,1,1,3,51,4,0,0,0,1,0,1,0,beg_injury_safe_home_3x
24,0,67.0,173,22.39,1,0,3,53,5,0,1,0,0,0,0,0,beg_muscle_home_3x
53,0,50.2,171,17.17,1,0,2,24,2,0,1,0,1,0,0,0,beg_muscle_home_3x
22,1,86.2,166,31.28,1,0,2,44,1,0,1,0,1,0,0,0,beg_muscle_home_3x
54,0,77.8,180,24.01,0,2,4,65,5,1,1,1,0,0,0,0,adv_fat_loss_gym_5x
18,1,78.3,162,29.84,0,1,5,62,2,1,0,1,1,0,0,0,int_fat_loss_gym_5x
29,0,74.5,182,22.49,1,0,4,30,2,1,1,1,0,0,0,0,beg_muscle_gym_3x
18,1,65.4,157,26.53,0,2,6,59,4,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
42,0,81.3,170,28.13,0,2,4,54,2,1,0,0,0,0,1,0,int_injury_safe_gym_3x
30,1,58.6,158,23.47,0,0,3,55,1,0,1,0,0,0,0,0,beg_fat_loss_home_3x
40,0,104.2,180,32.16,0,0,4,39,1,0,1,0,1,0,0,1,beg_injury_safe_home_3x
34,0,82.2,185,24.02,0,1,4,63,3,0,0,0,1,0,0,0,int_fat_loss_home_4x
